Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,TouchdownsTotal,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,RunPassOptionPercentage
Tommy DeVito,NYG,QB,8,8,8,0.75,1,6,0.75,0.75,-0.0064,8,44,5.5,0.5682,5.5,53,No,No,3,0.375,2.3632,0.0796,No,0.25,1,0.125,0.625,0.375,0.5,2.2875,2.4667,6.625,87.5,Yes,Yes,3,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.2,2.2,3,,,,,,,,,
Tim Boyle,NYG,QB,12,12,12,0.8333,,9,0.75,0.9,0.1087,12,97,8.0833,0.5361,8.0833,48,No,No,1,0.0833,2.1734,-0.0978,No,,,,0.5833,,0.5833,1.625,1.7,4.3636,98.3,No,No,4,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,4.85,4.85,3,1,,,,,,,,
Jordan Love,GB,QB,71,71,71,0.831,7,50,0.7042,0.8358,0.0878,71,548,7.7183,0.4434,8.1408,477,No,No,19,0.2676,23.2133,-0.0593,No,0.1127,1,0.0141,0.6056,0.0423,0.5352,2.4704,2.4158,7.1194,109.4,No,Yes,27,43.92,43.92,43.92,43.92,43.92,46.92,46.92,41.92,41.92,41.92,41.92,49.4,47.4,15,1,3,37,0.0845,6,2,0.0282,0.0423,
Mitchell Trubisky,BUF,QB,2,2,2,1,,2,1,1,0.1955,2,22,11,0.5455,11,10,No,No,1,0.5,0.4571,0.2714,No,,,,0.5,,1,1.9,2.1,5,112.5,No,Yes,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,9,,,,,,,,,
Aaron Rodgers,NYJ,QB,101,101,101,0.802,10,68,0.6733,0.7857,0.0115,101,785,7.7723,0.5809,8.9604,556,Yes,Yes,28,0.2772,33.8648,-0.0581,No,0.1584,1,0.0099,0.6139,0.1287,0.6535,2.5188,2.6143,5.6162,110.4,No,No,43,55.4,55.4,55.4,55.4,55.4,58.4,58.4,55.4,55.4,55.4,55.4,63.25,63.25,17,,2,54,0.0891,6,,0.0198,0.0297,
Baker Mayfield,TB,QB,101,101,101,0.8614,10,74,0.7327,0.8283,0.0914,101,759,7.5149,0.3478,7.3168,766,No,No,9,0.0891,34.6402,-0.2539,Yes,0.1188,1,0.0099,0.6436,0.0594,0.6733,2.5616,2.5778,7.7374,104.4,Yes,Yes,46,58.36,58.36,58.36,58.36,58.36,61.36,61.36,54.36,54.36,54.36,54.36,65.95,61.95,17,1,1,52,0.0792,8,4,0.0198,0.0099,0.0297
Derek Carr,NO,QB,62,62,62,0.871,2,50,0.8065,0.8966,0.0928,62,545,8.7903,0.6294,9.7581,261,Yes,No,16,0.2581,21.2081,-0.084,Yes,0.0645,,,0.5645,0.1613,0.5806,2.5581,2.5438,4.5,119.4,No,Yes,31,33.8,33.8,33.8,33.8,33.8,36.8,36.8,33.8,33.8,33.8,33.8,39.25,39.25,10,1,3,1,0.0323,3,,0.0161,,
Mason Rudolph,TEN,QB,49,49,49,0.898,2,42,0.8571,0.875,0.1149,49,384,7.8367,0.3672,8.1429,315,No,No,17,0.3469,17.409,-0.0083,No,0.0816,,,0.5306,0.0816,0.5918,2.6347,2.5529,6.5625,111.2,No,Yes,20,26.36,26.36,26.36,26.36,26.36,29.36,29.36,25.36,25.36,25.36,25.36,30.2,29.2,8,1,,,,3,1,0.0204,,
Bryce Young,CAR,QB,69,69,69,0.9275,8,56,0.8116,0.9254,0.187,69,545,7.8986,0.3101,8.0435,516,No,No,13,0.1884,20.9277,-0.1149,No,0.0435,1,0.0145,0.7101,0.058,0.5942,2.3333,2.5,7.7015,111.7,No,Yes,32,39.8,39.8,39.8,39.8,39.8,42.8,42.8,37.8,37.8,37.8,37.8,45.25,43.25,14,1,1,55,0.087,5,2,0.0145,0.029,
Deshaun Watson,CLV,QB,36,36,36,0.8889,1,24,0.6667,0.8286,0.0439,36,223,6.1944,0.4843,6.75,190,No,No,9,0.25,11.6606,-0.0739,No,0.0833,,,0.6944,0.1111,0.5,2.4528,1.9,5.4286,92.7,No,Yes,10,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,15.15,15.15,7,1,,31,0.1389,1,,0.0278,,
Dak Prescott,DAL,QB,62,62,62,0.7581,2,36,0.5806,0.7018,-0.0758,62,314,5.0645,0.3822,5.3871,330,No,No,15,0.2419,20.3973,-0.0871,Yes,0.1452,,,0.5484,0.1452,0.5,2.4823,2.3467,5.5932,76.9,No,Yes,17,16.56,16.56,16.56,16.56,16.56,19.56,19.56,16.56,16.56,16.56,16.56,19.7,19.7,8,3,,27,0.0645,1,,0.0484,,
Spencer Rattler,NO,QB,36,36,36,0.8056,,22,0.6111,0.7647,0.0392,36,260,7.2222,0.4,5.9722,266,No,No,9,0.25,10.7118,-0.0476,Yes,0.1389,,,0.6667,0.1389,0.4722,2.3,2.5,7.6,71.5,No,Yes,11,9.4,9.4,9.4,9.4,9.4,9.4,9.4,8.4,8.4,8.4,8.4,12,11,7,1,,46,0.1111,,1,0.0556,0.0278,
Marcus Mariota,WAS,QB,7,7,7,1,,7,1,1,0.2357,7,62,8.8571,0.3065,8.8571,43,No,No,,,1.8241,-0.2606,Yes,,,,0.8571,,0.4286,2.0857,,6.1429,103.6,Yes,Yes,2,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,3,,,,,,,,,0.1429
Carson Wentz,KC,QB,2,2,2,1,,2,1,1,0.1743,2,25,12.5,0.72,12.5,7,Yes,No,,,0.4743,-0.2372,No,,,,0.5,,0.5,1.95,,3.5,118.8,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,3,,,,,,,,,0.5
Tyler Huntley,MIA,QB,22,22,22,0.8182,,17,0.7727,0.9,0.1391,22,172,7.8182,0.3779,5.7727,131,No,No,4,0.1818,6.1666,-0.0985,No,0.0909,,,0.6364,0.0455,0.6818,2.2,1.9,6.55,80.1,No,Yes,9,5.88,5.88,5.88,5.88,5.88,5.88,5.88,4.88,4.88,4.88,4.88,7.6,6.6,5,2,,10,0.0455,,1,0.0455,,
Joe Milton,NE,QB,3,3,3,1,,3,1,1,0.2657,3,39,13,0.4103,13,23,Yes,No,1,0.3333,1.0824,-0.0275,Yes,,,,0.6667,0.3333,1,2.6667,2.5,7.6667,118.8,No,Yes,2,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,1,,,,,,,,,0.3333
Geno Smith,SEA,QB,119,119,119,0.8487,7,94,0.7899,0.8772,0.0885,119,1064,8.9412,0.6118,9.4034,608,No,No,19,0.1597,36.3486,-0.1458,Yes,0.1008,,,0.5798,0.1261,0.6387,2.3445,2.1684,5.3333,114.4,Yes,Yes,46,61.56,61.56,61.56,61.56,61.56,64.56,64.56,60.56,60.56,60.56,60.56,72.2,71.2,17,3,2,54,0.0504,5,1,0.0336,,0.0084
