Name,Team,POS,gameGameId,gameSeason,gameSeasonTypeSeasonTypeId,gameWeek,playerPlayerId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playStartClockQuarter,playDownNumber,playPassDropbackTypeName,playPassPassResultName,playPassTargetedRouteFamily,playPassThrowTypeParent,playPassReceiverSeparationName,playOffensePersonnelKey,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamsPlayedFor,opponentsPlayed,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,marketShareReceivingRoutesTotal,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,marketShareReceivingTargetsTotal,marketShareReceivingYardsTotal,marketShareReceivingYardsAir,marketShareReceivingTouchdownsTotal,marketShareReceivingTargetedReadFirst,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,ReceptionsHero,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playPlayerAlignmentFamily,playPlayerAlignmentSide
Quintin Morris,JAX,TE,2025311,2025,1,18,6FCB87D4E0EF,Jacksonville,Jaguars,true,TEN,AFC,AFC South,4,4,Straight Drop,Catch,Hitch,Static,Tight,11,Closed,Closed,Cover 1,"[{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""}]","[{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""}]",17,No,No,No,15,Yes,Yes,0.4,0.4,0.2,13,0.16853932584269662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,2025314,2025,1,18,74C759828F4B,Buffalo,Bills,true,NYJ,AFC,AFC East,4,1,Roll Right,Catch,Flare,Horizontal,Open,11,Closed,Closed,Cover 1,"[{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""}]","[{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""}]",18,Yes,No,No,12,No,Yes,,,,17,0.07792207792207792,2,1,0.5,0.16666666666666666,1,0.5,2,3,1,6,1,1,1,3,95.8,0.16666666666666666,1,-5.5915416105,2,3,1,1,4.417575758,4.417575758,0.13333333333333333,6.2,7.2,6.7,7.7,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,1,0.015151515151515152,0.002066115702479339,0.005763688760806916,0.14285714285714285,0.010101010101010102,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,2025319,2025,1,18,928B4CA26889,New England,Patriots,true,MIA,AFC,AFC East,4,2,Roll Right,Catch,Flat,Horizontal,Step,21,Closed,Closed,Cover 1,"[{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""}]","[{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""}]",77,Yes,No,Yes,75,No,Yes,,0.10666666666666667,0.8933333333333333,14,0.7211538461538461,8,8,1,0.10666666666666667,6,0.75,100,13,5,119,2,,7,14.875,156.3,1.3333333333333333,12.5,2.9149255157499994,16.666666666666668,2.1666666666666665,0.8333333333333334,5,18.917173023,18.917173023,0.13114754098360656,22,28,25,28,28,31,28,28,28,28,25,28,28,1,0.09876543209876543,0.1037344398340249,0.14133016627078385,0.3333333333333333,0.0958904109589041,3,1,2,1,1,1,2,0.125,,,,,,
Beaux Collins,NYG,WR,2025177,2025,1,9,46CA95DD0ECE,New York,Giants,true,SF,NFC,NFC West,4,3,Straight Drop,Catch,Out,Horizontal,Step,11,Open,Closed,Cover 1,"[{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""}]","[{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":29,""key"":""SF"",""abbreviation"":""SF"",""location"":""San Francisco"",""nickname"":""49ers""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""}]",9,No,No,Yes,9,No,Yes,,0.3333333333333333,0.6666666666666666,9,0.13432835820895522,2,1,0.5,0.2222222222222222,,,,,,8,,,2,4,,,,-5.9063590945,,,,,2.97521373,2.97521373,0.3333333333333333,,,,,,,,,,,,,,,0.0392156862745098,,0.021798365122615803,,0.058823529411764705,,,,,,1,,0.5,,,,,,
Mack Hollins,NE,WR,2025288,2025,1,16,8F2DA6570021,New England,Patriots,,BLT,AFC,AFC North,4,2,Straight Drop,Catch,In,Horizontal,Open,11,Open,Closed,Cover 1,"[{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""}]","[{""teamId"":23,""key"":""NO"",""abbreviation"":""NO"",""location"":""New Orleans"",""nickname"":""Saints""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""},{""teamId"":30,""key"":""TB"",""abbreviation"":""TB"",""location"":""Tampa Bay"",""nickname"":""Buccaneers""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""}]",76,No,No,No,69,No,Yes,0.028985507246376812,0.2753623188405797,0.6956521739130435,15,0.6272727272727273,14,8,0.5714285714285714,0.2028985507246377,8,0.5714285714285714,105,26,18,159,,,14,11.357142857142858,81,1.5217391304347827,7.5,-1.132632847285714,13.125,3.25,2.25,6,22.041137885,22.041137885,0.25,10.5,18.5,14.5,18.5,18.5,21.5,17.5,18.5,18.5,18.5,14.5,18.5,18.5,,0.1590909090909091,0.09840674789128398,0.17078410311493017,,0.18181818181818182,1,,1,,,,2,,,,,,,
Chris Moore,WAS,WR,2025320,2025,1,18,477E48BD62CE,Washington,Commanders,,PHI,NFC,NFC East,4,3,Straight Drop,Incomplete,Go,Vertical,Tight,11,Closed,Closed,Cover 1,"[{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""}]","[{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":2,""key"":""ATL"",""abbreviation"":""ATL"",""location"":""Atlanta"",""nickname"":""Falcons""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""}]",47,No,No,No,45,No,No,,0.2,0.8,14,0.44554455445544555,8,5,0.625,0.17777777777777778,4,0.5,115,36,11,143,1,,6,17.875,135.4,2.5555555555555554,14.375,4.473472514625,28.75,9,2.75,4,15.730081359,15.730081359,0.1951219512195122,17.5,21.5,19.5,21.5,21.5,24.5,22.5,21.5,21.5,21.5,19.5,21.5,21.5,,0.09195402298850575,0.18312101910828024,0.16031390134529147,0.3333333333333333,0.08823529411764706,2,1,1,1,1,1,3,0.125,,,,,,
Pat Freiermuth,PIT,TE,2025321,2025,1,18,A2783A1B4BF5,Pittsburgh,Steelers,true,BLT,AFC,AFC North,4,3,Scramble Right,Incomplete,,,,12,Closed,Closed,Cover 1,"[{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""}]","[{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":12,""key"":""GB"",""abbreviation"":""GB"",""location"":""Green Bay"",""nickname"":""Packers""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""}]",74,No,Yes,Yes,68,No,No,0.20588235294117646,0.6470588235294118,0.14705882352941177,17,0.6071428571428571,11,5,0.45454545454545453,0.16176470588235295,5,0.45454545454545453,66,34,10,92,,,7,8.363636363636363,65,0.9705882352941176,6,-2.2476685527272724,13.2,6.8,2,4,20.909371749,20.909371749,0.171875,6.6000000000000005,11.600000000000001,9.100000000000001,11.600000000000001,14.100000000000001,11.600000000000001,9.100000000000001,11.600000000000001,11.600000000000001,11.600000000000001,9.100000000000001,14.100000000000001,11.600000000000001,3,0.10576923076923077,0.09865470852017937,0.08646616541353383,,0.0875,,1,,,,,1,,1,0.2,1,0.09090909090909091,,
Tahj Brooks,CIN,RB,2025296,2025,1,17,EA255E0A723B,Cincinnati,Bengals,true,ARZ,NFC,NFC West,4,2,Straight Drop,Sack,,,,12,Closed,Closed,Cover 1,"[{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""}]","[{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""}]",2,No,Yes,No,1,No,No,,,1,12,0.014285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,2025318,2025,1,18,8D4CC244AE50,Kansas City,Chiefs,,LV,AFC,AFC West,4,3,Roll Right,Sack,,,,13,Closed,Closed,Cover 1,"[{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""}]","[{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":15,""key"":""JAX"",""abbreviation"":""JAX"",""location"":""Jacksonville"",""nickname"":""Jaguars""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":13,""key"":""HST"",""abbreviation"":""HST"",""location"":""Houston"",""nickname"":""Texans""},{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""},{""teamId"":31,""key"":""TEN"",""abbreviation"":""TEN"",""location"":""Tennessee"",""nickname"":""Titans""}]",155,Yes,Yes,Yes,135,No,No,0.32592592592592595,0.4962962962962963,0.17037037037037037,17,0.8035714285714286,23,15,0.6521739130434783,0.17037037037037037,14,0.6086956521739131,157,107,48,194,,0.007407407407407408,17,8.434782608695652,63.1,1.162962962962963,6.826086956521739,-0.8091518815217396,11.214285714285714,7.642857142857143,3.4285714285714284,8,39.623036722,39.623036722,0.19327731092436976,15.700000000000001,29.700000000000003,22.700000000000003,29.700000000000003,36.7,32.7,25.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,22.700000000000003,36.7,29.700000000000003,3,0.16083916083916083,0.2054973821989529,0.16086235489220563,,0.16831683168316833,2,,1,,,1,4,0.043478260869565216,3,0.21428571428571427,2,0.08695652173913043,Inline,Right
Ben Skowronek,PIT,WR,2025321,2025,1,18,2A1CE44226BB,Pittsburgh,Steelers,true,BLT,AFC,AFC North,4,3,Scramble Right,Incomplete,,,,12,Closed,Closed,Cover 1,"[{""teamId"":27,""key"":""PIT"",""abbreviation"":""PIT"",""location"":""Pittsburgh"",""nickname"":""Steelers""}]","[{""teamId"":28,""key"":""SEA"",""abbreviation"":""SEA"",""location"":""Seattle"",""nickname"":""Seahawks""},{""teamId"":12,""key"":""GB"",""abbreviation"":""GB"",""location"":""Green Bay"",""nickname"":""Packers""},{""teamId"":14,""key"":""IND"",""abbreviation"":""IND"",""location"":""Indianapolis"",""nickname"":""Colts""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":3,""key"":""BLT"",""abbreviation"":""BLT"",""location"":""Baltimore"",""nickname"":""Ravens""},{""teamId"":7,""key"":""CIN"",""abbreviation"":""CIN"",""location"":""Cincinnati"",""nickname"":""Bengals""},{""teamId"":22,""key"":""NE"",""abbreviation"":""NE"",""location"":""New England"",""nickname"":""Patriots""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""},{""teamId"":8,""key"":""CLV"",""abbreviation"":""CLV"",""location"":""Cleveland"",""nickname"":""Browns""},{""teamId"":4,""key"":""BUF"",""abbreviation"":""BUF"",""location"":""Buffalo"",""nickname"":""Bills""},{""teamId"":20,""key"":""MIA"",""abbreviation"":""MIA"",""location"":""Miami"",""nickname"":""Dolphins""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""}]",10,No,Yes,Yes,9,No,No,,0.4444444444444444,0.5555555555555556,16,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,2025290,2025,1,17,3C11932DD1C0,Dallas,Cowboys,,WAS,NFC,NFC East,3,3,Straight Drop,Incomplete,Out,Horizontal,Tight,11,Closed,Closed,Cover 1,"[{""teamId"":9,""key"":""DAL"",""abbreviation"":""DAL"",""location"":""Dallas"",""nickname"":""Cowboys""}]","[{""teamId"":24,""key"":""NYG"",""abbreviation"":""NYG"",""location"":""New York"",""nickname"":""Giants""},{""teamId"":10,""key"":""DEN"",""abbreviation"":""DEN"",""location"":""Denver"",""nickname"":""Broncos""},{""teamId"":26,""key"":""PHI"",""abbreviation"":""PHI"",""location"":""Philadelphia"",""nickname"":""Eagles""},{""teamId"":11,""key"":""DET"",""abbreviation"":""DET"",""location"":""Detroit"",""nickname"":""Lions""},{""teamId"":1,""key"":""ARZ"",""abbreviation"":""ARZ"",""location"":""Arizona"",""nickname"":""Cardinals""},{""teamId"":32,""key"":""WAS"",""abbreviation"":""WAS"",""location"":""Washington"",""nickname"":""Commanders""},{""teamId"":5,""key"":""CAR"",""abbreviation"":""CAR"",""location"":""Carolina"",""nickname"":""Panthers""},{""teamId"":18,""key"":""LAC"",""abbreviation"":""LAC"",""location"":""Los Angeles"",""nickname"":""Chargers""},{""teamId"":12,""key"":""GB"",""abbreviation"":""GB"",""location"":""Green Bay"",""nickname"":""Packers""},{""teamId"":25,""key"":""NYJ"",""abbreviation"":""NYJ"",""location"":""New York"",""nickname"":""Jets""},{""teamId"":19,""key"":""LV"",""abbreviation"":""LV"",""location"":""Las Vegas"",""nickname"":""Raiders""},{""teamId"":16,""key"":""KC"",""abbreviation"":""KC"",""location"":""Kansas City"",""nickname"":""Chiefs""},{""teamId"":6,""key"":""CHI"",""abbreviation"":""CHI"",""location"":""Chicago"",""nickname"":""Bears""},{""teamId"":21,""key"":""MIN"",""abbreviation"":""MIN"",""location"":""Minnesota"",""nickname"":""Vikings""}]",82,No,No,No,42,No,No,,0.11904761904761904,0.023809523809523808,16,0.4,2,1,0.5,0.047619047619047616,1,0.5,2,6,2,-8,,0.8571428571428571,,-4,56.3,0.047619047619047616,1,-4.56988417,2,6,2,1,2.777340824,2.777340824,0.0273972602739726,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,0.020618556701030927,0.0022197558268590455,-0.008676789587852495,,,,,,,,,,,2,2,,,,
